"InstanceCategory","InstanceSize","InstanceType","vCPU","Memory","NetworkingPerformance","PhysicalProcessor","ClockSpeed","IntelAVX","Intel AVX2","IntelTurbo","EBSOPT","EnhancedNetworking","LocalStorage","LocalStorageNUM","LocalStorageGB","LocalStorageCapacity"
"t2","micro","t2.micro",1,1,"Low to Moderate","Intel Xeon family",3.3,"Yes","-","Yes","-","-","EBS Only",0,0,0
"t2","small","t2.small",1,2,"Low to Moderate","Intel Xeon family",3.3,"Yes","-","Yes","-","-","EBS Only",0,0,0
"t2","medium","t2.medium",2,4,"Low to Moderate","Intel Xeon family",3.3,"Yes","-","Yes","-","-","EBS Only",0,0,0
"t2","large","t2.large",2,8,"Low to Moderate","Intel Xeon family",3,"Yes","-","Yes","-","-","EBS Only",0,0,0
"m4","large","m4.large",2,8,"Moderate","Intel Xeon E5-2676 v3",2.4,"Yes","Yes","Yes","Yes","Yes","EBS Only",0,0,0
"m4","xlarge","m4.xlarge",4,16,"High","Intel Xeon E5-2676 v3",2.4,"Yes","Yes","Yes","Yes","Yes","EBS Only",0,0,0
"m4","2xlarge","m4.2xlarge",8,32,"High","Intel Xeon E5-2676 v3",2.4,"Yes","Yes","Yes","Yes","Yes","EBS Only",0,0,0
"m4","4xlarge","m4.4xlarge",16,64,"High","Intel Xeon E5-2676 v3",2.4,"Yes","Yes","Yes","Yes","Yes","EBS Only",0,0,0
"m4","10xlarge","m4.10xlarge",40,160,"10 Gigabit","Intel Xeon E5-2676 v3",2.4,"Yes","Yes","Yes","Yes","Yes","EBS Only",0,0,0
"m3","medium","m3.medium",1,3.75,"Moderate","Intel Xeon E5-2670 v2*",2.5,"Yes","-","Yes","-","-","SSD",1,4,4
"m3","large","m3.large",2,7.5,"Moderate","Intel Xeon E5-2670 v2*",2.5,"Yes","-","Yes","-","-","SSD",1,32,32
"m3","xlarge","m3.xlarge",4,15,"High","Intel Xeon E5-2670 v2*",2.5,"Yes","-","Yes","Yes","-","SSD",2,40,80
"m3","2xlarge","m3.2xlarge",8,30,"High","Intel Xeon E5-2670 v2*",2.5,"Yes","-","Yes","Yes","-","SSD",2,80,160
"c4","large","c4.large",2,3.75,"Moderate","Intel Xeon E5-2666 v3",2.9,"Yes","Yes","Yes","Yes","Yes","EBS Only",0,0,0
"c4","xlarge","c4.xlarge",4,7.5,"High","Intel Xeon E5-2666 v3",2.9,"Yes","Yes","Yes","Yes","Yes","EBS Only",0,0,0
"c4","2xlarge","c4.2xlarge",8,15,"High","Intel Xeon E5-2666 v3",2.9,"Yes","Yes","Yes","Yes","Yes","EBS Only",0,0,0
